trampa_ID_unico,mean_temp,mean_hum,fecha_puesta,fecha_recogida,dias_monitoreo,periodo_monitoreo,monitoreo,tipo_trampa,marca_trampa,ubicacion
61,22.302459016393442,24.57843137254902,2020-10-22,2021-01-22,92,oct2020-ene2021,interv8,Adhesiva.suelo,Gluee Louee,Zona.central
48,22.954545454545453,33,2020-04-19,2020-07-22,94,abr-jul2020,interv6,Adhesiva.suelo,Gluee Louee,Zona.entrada
49,22.954545454545453,33,2020-04-19,2020-07-22,94,abr-jul2020,interv6,Adhesiva.suelo,Gluee Louee,Zona.entrada
51,21.3,36.7,2020-07-22,2020-10-22,92,jul-oct2020,interv7,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
45,22.954545454545453,33,2020-04-19,2020-07-22,94,abr-jul2020,interv6,Adhesiva.suelo,Gluee Louee,Zona.bodega
15,21.393333333333334,36.67333333333333,2018-07-11,2019-02-11,215,jul2018-feb2019,interv2,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
24,22.4,36.18888888888889,2019-02-11,2020-01-20,343,feb2019-ene2020,interv4,Adhesiva.suelo,Gluee Louee,Zona.central
30,22.4,36.18888888888889,2019-02-11,2020-01-20,343,feb2019-ene2020,interv4,Adhesiva.mueble,Amarillas voladores,Zona.central
53,21.3,36.7,2020-07-22,2020-10-22,92,jul-oct2020,interv7,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
59,22.302459016393442,24.57843137254902,2020-10-22,2021-01-22,92,oct2020-ene2021,interv8,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
31,22.4,36.18888888888889,2019-02-11,2020-01-20,343,feb2019-ene2020,interv4,Adhesiva.mueble,Amarillas voladores,Zona.central
